"","avg_2018","avg_2019","bar_name","route_desc","avg_2018_percent","avg_2019_percent"
"1",77647,78483,"Blue Line","Rapid Transit",6.9,7.3
"2",175369,143474,"Green Line","Rapid Transit",15.7,13.3
"3",196318,190685,"Orange Line","Rapid Transit",17.6,17.7
"4",270649,258199,"Red Line","Rapid Transit",24.2,23.9
"5",3273.33333333333,3839.87301587302,"Hingham Ferry","Ferry",0.3,0.4
"6",1004.2380952381,1166.609375,"Hingham/Hull Ferry","Ferry",0.1,0.1
"7",666.190476190476,966.96875,"Charlestown Ferry","Ferry",0.1,0.1
"8",11831.4,14257,"Bus 1","Key Bus",1.1,1.3
"10",2918.2,2835.2,"Bus 10","Local Bus",0.3,0.3
"11",749.7,819.1,"Bus 100","Local Bus",0.1,0.1
"12",4415.3,4236.4,"Bus 101","Local Bus",0.4,0.4
"13",4124.7,4239.5,"Bus 104","Local Bus",0.4,0.4
"14",947.3,929.4,"Bus 105","Local Bus",0.1,0.1
"15",2514.5,2646.9,"Bus 106","Local Bus",0.2,0.2
"16",2964.2,2971.5,"Bus 108","Local Bus",0.3,0.3
"17",2944.1,3128.7,"Bus 109","Local Bus",0.3,0.3
"18",2998.8,3012.4,"Bus 11","Local Bus",0.3,0.3
"19",3514.5,3421,"Bus 110","Local Bus",0.3,0.3
"20",10398.5,10286.2,"Bus 111","Key Bus",0.9,1
"21",1148,1110.6,"Bus 112","Local Bus",0.1,0.1
"22",440.3,386.6,"Bus 114","Community Bus",0,0
"23",6144.3,6453.5,"Bus 116","Key Bus",0.5,0.6
"25",5384.9,5576.3,"Bus 117","Key Bus",0.5,0.5
"26",978.6,1031.3,"Bus 119","Local Bus",0.1,0.1
"27",2523.5,2412.3,"Bus 120","Local Bus",0.2,0.2
"28",457.4,433.9,"Bus 121","Commuter Bus",0,0
"29",693.8,704.6,"Bus 131","Commuter Bus",0.1,0.1
"31",1051.2,966.3,"Bus 132","Local Bus",0.1,0.1
"32",1805.3,1588.2,"Bus 134","Local Bus",0.2,0.1
"34",957.5,942.3,"Bus 137","Local Bus",0.1,0.1
"35",1296.3,1296,"Bus 14","Local Bus",0.1,0.1
"36",5608.6,5971.2,"Bus 15","Key Bus",0.5,0.6
"37",5447.2,5788.3,"Bus 16","Local Bus",0.5,0.5
"38",2926.9,2812.8,"Bus 17","Local Bus",0.3,0.3
"39",24.6,23.5,"Bus 171","Supplemental Bus",0,0
"40",383.2,399.9,"Bus 18","Local Bus",0,0
"41",3118.1,3245,"Bus 19","Local Bus",0.3,0.3
"43",545.4,497.1,"Bus 201","Local Bus",0,0
"45",421.9,437.3,"Bus 202","Local Bus",0,0
"46",4416.9,4889.6,"Bus 21","Local Bus",0.4,0.5
"47",642.8,646.7,"Bus 210","Local Bus",0.1,0.1
"48",834.8,753.2,"Bus 211","Local Bus",0.1,0.1
"49",1629.4,1516.7,"Bus 215","Local Bus",0.1,0.1
"50",1133.8,1071.7,"Bus 216","Local Bus",0.1,0.1
"51",230.1,246.5,"Bus 217","Commuter Bus",0,0
"52",7982.1,8411.7,"Bus 22","Key Bus",0.7,0.8
"54",1481.6,1702.3,"Bus 220","Local Bus",0.1,0.2
"55",1457.8,1428.8,"Bus 222","Local Bus",0.1,0.1
"56",2825.4,2747.5,"Bus 225","Local Bus",0.3,0.3
"57",11593.1,11637,"Bus 23","Key Bus",1,1.1
"58",1435.5,1359.1,"Bus 230","Local Bus",0.1,0.1
"59",516.2,491.3,"Bus 236","Local Bus",0,0
"60",1727.1,1434.3,"Bus 238","Local Bus",0.2,0.1
"61",1694.9,1661.9,"Bus 24","Local Bus",0.2,0.2
"62",2655.5,2518.5,"Bus 240","Local Bus",0.2,0.2
