"","avg_2018","avg_2019","bar_name","municipal","avg_2018_percent","avg_2019_percent"
"1",12318,12072,"Alewife","Cambridge",1.3,1.3
"2",690,493,"Allston Street","Boston",0.1,0.1
"3",6738,6130,"Andrew","Boston",0.7,0.7
"4",8209,8327,"Airport","Boston",0.9,0.9
"5",5547,5066,"Aquarium","Boston",0.6,0.6
"6",8697,8692,"Arlington","Boston",0.9,1
"7",9670,9025,"Ashmont","Boston",1,1
"8",3909,4265,"Assembly","Somerville",0.4,0.5
"9",908,559,"Babcock Street","Boston",0.1,0.1
"10",16748,16645,"Back Bay","Boston",1.8,1.8
"11",268,74,"Back of the Hill","Boston",0,0
"12",919,330,"Beaconsfield","Brookline",0.1,0
"13",430,363,"Washington Square","Brookline",0,0
"14",496,426,"Blandford Street","Boston",0.1,0
"15",3356,3598,"Beachmont","Revere",0.4,0.4
"16",434,130,"Brandon Hall","Brookline",0,0
"17",2297,2425,"Bowdoin","Boston",0.2,0.3
"18",8027,7493,"Boylston","Boston",0.8,0.8
"19",6494,6321,"Broadway","Boston",0.7,0.7
"20",1195,682,"Packard's Corner","Boston",0.1,0.1
"21",1115,398,"Brookline Hills","Brookline",0.1,0
"22",1236,911,"Brigham Circle","Boston",0.1,0.1
"23",4730,4534,"Braintree","Braintree",0.5,0.5
"24",999,558,"Boston University Central","Boston",0.1,0.1
"25",1194,443,"Boston University East","Boston",0.1,0
"26",1650,761,"Brookline Village","Brookline",0.2,0.1
"27",6044,5027,"Community College","Boston",0.6,0.6
"28",944,405,"Chestnut Hill","Newton",0.1,0
"29",138,194,"Chestnut Hill Avenue","Boston",0,0
"30",11198,10842,"Charles/MGH","Boston",1.2,1.2
"31",6003,5681,"Chinatown","Boston",0.6,0.6
"32",422,268,"Chiswick Road","Boston",0,0
"33",313,263,"Cleveland Circle","Boston",0,0
"34",16307,15430,"Central","Cambridge",1.7,1.7
"35",15821,14559,"Copley","Boston",1.7,1.6
"36",1893,1025,"Coolidge Corner","Brookline",0.2,0.1
"37",12389,12265,"Davis","Somerville",1.3,1.3
"38",466,175,"Dean Road","Brookline",0,0
"39",65964,62799,"Downtown Crossing","Boston",7,6.9
"40",487,228,"Eliot","Newton",0.1,0
"41",326,260,"Englewood Avenue","Brookline",0,0
"42",575,228,"Fairbanks Street","Brookline",0.1,0
"43",340,160,"Fenwood Road","Boston",0,0
"44",1905,664,"Fenway","Boston",0.2,0.1
"45",5734,5425,"Fields Corner","Boston",0.6,0.6
"46",13668,13099,"Forest Hills","Boston",1.4,1.4
"47",30560,28725,"Government Center","Boston",3.2,3.2
"48",1044,571,"Griggs Street","Boston",0.1,0.1
"49",3468,3465,"Green Street","Boston",0.4,0.4
"50",16291,14217,"Haymarket","Boston",1.7,1.6
"51",20060,18015,"Harvard","Cambridge",2.1,2
"52",2849,1012,"Harvard Avenue","Boston",0.3,0.1
"53",315,311,"Heath Street","Boston",0,0
"54",478,122,"Hawes Street","Brookline",0.1,0
"55",8537,8221,"Hynes Convention Center","Boston",0.9,0.9
"56",5834,5619,"Jackson Square","Boston",0.6,0.6
"57",11654,10805,"JFK/UMass","Boston",1.2,1.2
"58",12023,8934,"Kenmore","Boston",1.3,1
"59",17966,17909,"Kendall/MIT","Cambridge",1.9,2
"60",386,147,"Kent Street","Brookline",0,0
"61",397,217,"Boston College","Boston",0,0
"62",6094,5974,"Lechmere","Cambridge",0.6,0.7
"63",1693,807,"Longwood Medical Area","Boston",0.2,0.1
"64",1608,566,"Longwood","Brookline",0.2,0.1
"65",5728,5833,"Massachusetts Avenue","Boston",0.6,0.6
"66",1452,542,"Museum of Fine Arts","Boston",0.2,0.1
"67",612,310,"Mission Park","Boston",0.1,0
"68",13380,12124,"Malden Center","Malden",1.4,1.3
"69",11830,12270,"Maverick","Boston",1.2,1.3
"70",824,397,"Newton Highlands","Newton",0.1,0
"71",1562,448,"Newton Centre","Newton",0.2,0
"72",19965,21365,"North Station","Boston",2.1,2.3
"73",9785,6259,"North Quincy","Quincy",1,0.7
"74",1020,780,"Northeastern University","Boston",0.1,0.1
"75",7292,6694,"Oak Grove","Malden",0.8,0.7
"76",4507,4886,"Orient Heights","Boston",0.5,0.5
"77",67070,61374,"Park Street","Boston",7.1,6.7
"78",8868,8944,"Porter","Cambridge",0.9,1
"79",3309,3417,"Prudential","Boston",0.3,0.4
"80",5451,4337,"Quincy Adams","Quincy",0.6,0.5
"81",8113,7740,"Quincy Center","Quincy",0.9,0.9
"82",3233,3335,"Revere Beach","Revere",0.3,0.4
"83",5056,4950,"Roxbury Crossing","Boston",0.5,0.5
"84",546,410,"Riverside","Newton",0.1,0
"85",1342,566,"Reservoir","Brookline",0.1,0.1
"86",10558,10089,"Ruggles","Boston",1.1,1.1
"87",310,260,"Riverway","Boston",0,0
"88",3830,3601,"Stony Brook","Boston",0.4,0.4
"89",525,814,"Suffolk Downs","Boston",0.1,0.1
"90",2572,2341,"Savin Hill","Boston",0.3,0.3
"91",732,471,"Saint Mary's Street","Brookline",0.1,0.1
"92",2607,2438,"Shawmut","Boston",0.3,0.3
"93",168,103,"South Street","Boston",0,0
"94",2278,5159,"Science Park/West End","Boston",0.2,0.6
"95",29832,28858,"South Station","Boston",3.1,3.2
"96",31821,33258,"State","Boston",3.4,3.7
"97",766,328,"Sutherland Road","Boston",0.1,0
"98",717,280,"Saint Paul Street","Brookline",0.1,0
"99",9134,8728,"Sullivan Square","Boston",1,1
"100",543,365,"Summit Avenue","Brookline",0.1,0
"101",2338,1894,"Symphony","Boston",0.2,0.2
"102",363,262,"Tappan Street","Brookline",0,0
"103",6369,6370,"Tufts Medical Center","Boston",0.7,0.7
"104",585,167,"Waban","Newton",0.1,0
"105",886,553,"Washington Street","Boston",0.1,0.1
"106",7805,7980,"Wellington","Medford",0.8,0.9
"107",2332,2214,"Wood Island","Boston",0.2,0.2
"108",7,3487,"Wollaston","Quincy",0,0.4
"109",7428,6707,"Wonderland","Revere",0.8,0.7
"110",250,250,"Woodland","Newton",0,0
"111",1206,495,"Warren Street","Boston",0.1,0.1
"112",1830.57142857143,2146.59375,"Hingham","Hingham",0.2,0.2
"113",350.238095238095,373.90625,"Hull","Hull",0,0
"114",14.9047619047619,31.71875,"Logan Airport Ferry Terminal","Boston",0,0
"115",498.52380952381,560.890625,"Long Wharf (North)","Boston",0.1,0.1
